"group","measure","mean","lower","upper","total_mean","total_lower","total_upper","direct_mean","direct_lower","direct_upper","indirect_mean","indirect_lower","indirect_upper"
"Rate(Age<12)","total",251,122,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(Age<12)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(Age<12)","indirect",251,122,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(12<=Age<16)","total",88,41,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(12<=Age<16)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(12<=Age<16)","indirect",88,41,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<V<50)","total",4960,3363,6762,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<V<50)","direct",4841,3243,6633,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<V<50)","indirect",119,35,215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<UV<50)","total",2374,1126,3781,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<UV<50)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<UV<50)","indirect",2374,1126,3781,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(V>=50)","total",21246,12864,30614,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(V>=50)","direct",20003,11564,29395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(V>=50)","indirect",1242,532,2052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(UV>=50)","total",4630,2061,7501,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(UV>=50)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(UV>=50)","indirect",4630,2061,7501,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Overall",NA,NA,NA,NA,33549,22179,46241,24844,16291,34464,8705,5701,11972
